Replication,Phoenix_Avg,Denver_Avg,Chicago_Avg,Atlanta_Avg
397,12.7836,96.9357,166.9532,123.3275
398,12.1813,97.5088,166.2865,124.0234
399,13.5848,97.1462,164.2807,124.9883
400,12.7193,97.3860,166.0351,123.8596
401,11.7310,98.9064,165.7135,123.6491
402,12.4094,96.8830,167.0234,123.6842
403,12.0000,93.6901,167.1637,127.1462
404,12.5439,97.0292,166.9825,123.4444
405,11.1637,100.7368,165.5906,122.5088
406,12.1813,98.0760,165.7953,123.9474
407,11.5614,97.3743,166.6082,124.4561
408,12.9708,96.1930,163.6725,127.1637
409,11.8830,98.6608,165.2865,124.1696
410,12.3392,97.6140,165.4327,124.6140
411,11.2573,100.1871,165.6959,122.8596
412,12.6842,96.4561,165.5614,125.2982
413,12.0409,96.9649,166.7895,124.2047
414,10.5497,98.6667,164.1637,126.6199
415,11.8538,98.3567,165.3626,124.4269
416,12.7661,94.8421,166.5673,125.8246
417,12.2105,97.9006,166.2865,123.6023
418,13.5673,95.7836,165.5965,125.0526
419,11.5029,98.9766,165.6667,123.8538
420,12.4971,96.9825,163.6667,126.8538
421,10.9123,97.9298,168.1754,122.9825
422,12.7485,96.9181,167.0409,123.2924
423,12.1754,98.5029,166.5263,122.7953
424,12.4503,97.9883,164.6550,124.9064
425,11.9240,100.1287,164.5029,123.4444
426,13.0585,95.8947,165.9181,125.1287
427,12.6199,97.9298,163.5848,125.8655
428,11.9766,97.6140,165.6842,124.7251
429,12.4327,98.9766,164.5439,124.0468
430,12.8187,97.6082,167.7544,121.8187
431,11.6550,98.5439,167.1988,122.6023
432,12.4211,99.5673,163.4269,124.5848
433,13.2047,99.0877,163.4912,124.2164
434,12.0409,98.6842,165.6257,123.6491
435,12.9649,99.0000,166.1520,121.8830
436,13.0936,97.5497,166.4561,122.9006
437,12.4444,97.8596,167.0292,122.6667
438,13.5380,97.7719,165.7310,122.9591
439,13.7661,98.0117,164.6374,123.5848
440,11.1170,99.3275,165.2398,124.3158
441,13.5205,98.1988,165.9591,122.3216
442,12.0702,95.7076,166.8596,125.3626
443,12.3626,97.8713,167.0409,122.7251
444,11.5556,97.4211,167.8830,123.1404
445,12.1754,96.0058,168.5088,123.3099
446,11.6140,101.2865,164.5088,122.5906
447,12.2398,93.0351,168.0526,126.6725
448,13.1813,98.1813,164.8070,123.8304
449,13.0175,97.4971,164.8129,124.6725
450,13.4269,96.4211,163.5906,126.5614
451,12.8830,97.6082,166.0292,123.4795
452,11.7251,98.1637,166.3801,123.7310
453,11.6316,99.0936,166.7193,122.5556
454,12.0409,98.6901,163.9474,125.3216
455,12.7076,97.8889,166.7135,122.6901
456,12.3567,97.3333,166.5263,123.7836
457,12.0643,98.5731,165.0409,124.3216
458,12.7661,97.4737,164.3626,125.3977
459,12.3333,98.7602,165.3977,123.5088
460,13.3333,95.9532,164.2515,126.4620
461,13.1579,98.5380,164.7953,123.5088
462,12.4444,98.4035,164.1462,125.0058
463,12.4327,96.4678,166.2164,124.8830
464,12.2456,97.3801,164.7953,125.5789
465,12.4912,95.4327,166.9240,125.1520
466,12.4971,99.4737,163.6433,124.3860
467,11.8421,101.2573,163.9942,122.9064
468,12.7018,96.5497,166.8713,123.8772
469,12.5556,96.4094,166.6608,124.3743
470,13.1228,97.9064,164.8129,124.1579
471,11.8246,96.6959,165.6023,125.8772
472,12.1696,97.7719,163.8830,126.1754
473,11.7602,100.6023,164.9357,122.7018
474,13.9883,96.1111,166.5497,123.3509
475,11.2807,97.3567,165.4678,125.8947
476,11.0936,97.9708,164.5614,126.3743
477,12.4094,97.5322,165.3392,124.7193
478,12.6725,97.4503,165.4854,124.3918
479,11.2573,95.1111,168.1462,125.4854
480,12.6140,97.4620,164.9766,124.9474
481,13.0351,96.1754,165.7719,125.0175
482,12.8421,96.5965,163.6082,126.9532
483,11.8480,101.3333,164.5439,122.2749
484,13.2690,97.9474,165.7427,123.0409
485,13.2865,95.7661,163.1871,127.7602
486,10.8480,97.8070,169.0351,122.3099
487,13.4211,96.6784,164.5029,125.3977
488,12.2339,98.3333,165.5556,123.8772
489,13.3275,97.4269,163.7427,125.5029
490,13.1696,97.1637,166.3509,123.3158
491,12.0000,97.1813,165.2515,125.5673
492,11.6550,98.6784,164.7895,124.8772
493,12.6491,98.2924,165.3041,123.7544
494,10.8129,97.3216,167.4912,124.3743
495,13.0643,97.8421,164.8713,124.2222
496,12.4386,96.3684,166.5556,124.6374
497,12.1228,97.8889,165.4035,124.5848
498,12.2515,95.6023,168.2164,123.9298
499,12.3977,97.2047,167.0702,123.3275
500,12.6082,98.0877,163.3158,125.9883
501,13.3977,96.8187,164.5497,125.2339
502,11.6257,98.3801,166.0351,123.9591
503,13.0409,94.3509,166.3977,126.2105
504,13.0351,99.0409,162.0409,125.8830
505,12.1696,97.9532,164.5556,125.3216
506,11.9532,95.6901,166.1228,126.2339
507,13.2982,96.5088,166.2456,123.9474
508,12.9298,96.5848,166.7193,123.7661
509,12.7485,99.3509,166.4912,121.4094
510,11.9474,94.4386,166.2398,127.3743
511,13.6374,99.0643,162.4971,124.8012
512,12.4854,99.4386,163.1345,124.9415
513,12.7544,99.7076,168.2515,119.2865
514,12.0351,98.1345,165.4094,124.4211
515,11.7544,98.0643,167.7018,122.4795
516,12.3977,96.2807,165.1520,126.1696
517,12.1637,97.1637,167.8480,122.8246
518,12.1462,95.7778,166.4620,125.6140
519,11.8363,97.4561,166.6959,124.0117
520,12.8713,99.3860,163.1520,124.5906
521,12.5614,97.8187,165.3099,124.3099
522,11.8480,98.3099,166.4678,123.3743
523,12.6491,98.4327,167.9240,120.9942
524,10.9591,98.4269,166.3275,124.2865
525,12.0409,96.5380,167.0994,124.3216
526,12.3684,98.6725,167.2047,121.7544
527,12.5673,99.4737,165.1287,122.8304
528,12.7544,97.8012,164.6082,124.8363
529,11.8713,96.4561,166.9591,124.7135
530,11.3860,97.3275,165.4035,125.8830
531,12.7953,98.7251,162.9123,125.5673
532,12.7778,97.6374,166.5673,123.0175
533,11.7544,97.5205,165.6082,125.1170
534,11.7544,96.5673,164.5614,127.1170
535,13.0175,98.3041,167.1520,121.5263
536,12.1579,96.8830,166.2339,124.7251
537,12.0175,98.3450,165.9825,123.6550
538,11.6374,97.3099,165.4211,125.6316
539,12.1228,98.1287,166.6374,123.1111
540,11.6725,99.2924,166.6842,122.3509
541,12.0468,98.5906,165.8070,123.5556
542,12.3158,97.0643,165.2924,125.3275
543,13.0409,95.3801,168.0526,123.5263
544,13.0585,99.4971,163.0351,124.4094
545,12.8363,97.2573,165.5614,124.3450
546,11.7661,98.5965,165.1111,124.5263
547,12.8655,96.7018,164.6023,125.8304
548,12.8363,99.5789,163.2047,124.3801
549,12.3333,100.1345,164.3216,123.2105
550,13.0000,99.4503,165.4678,122.0819
551,12.0058,97.3216,164.6550,126.0175
552,12.2573,99.9240,165.5497,122.2690
