strategy,n_urgent,rule,rep,objective,el_app_wt,ur_scan_wt,el_scan_wt,ot
1,10,3,21,0.4731830388,16.34663931,3.382934529,0.1903637516,0.985873971
1,10,3,22,0.4680251261,15.77484748,3.367145021,0.1827106132,1.072729279
1,10,3,23,0.4725676236,15.31854555,3.432472244,0.1836081898,0.934995765
1,10,3,24,0.4505680747,12.0185064,3.411264115,0.181962269,1.066573991
1,10,3,25,0.4521204853,11.59163072,3.448104151,0.1825071051,1.020061287
1,10,3,26,0.4858324023,17.92386044,3.412284811,0.1892664899,0.9621935838
1,10,3,27,0.4738863684,13.52709113,3.540311719,0.1787869752,0.9869295235
1,10,3,28,0.4621413114,13.27991281,3.447847902,0.1797697772,1.021716587
1,10,3,29,0.4302863745,11.54983847,3.253836024,0.1788529619,0.9997048792
1,10,3,30,0.4581149259,14.69072272,3.33603133,0.1869224508,0.9388781607
1,10,3,31,0.4817175714,17.58193497,3.39356877,0.1836394989,1.03814457
1,10,3,32,0.4732533645,14.92474097,3.459740586,0.1853145838,0.8772746411
1,10,3,33,0.4708439508,14.63350063,3.453658024,0.1854572964,1.021009287
1,10,3,34,0.4529900429,11.74896321,3.447501643,0.1811190218,0.9869697806
1,10,3,35,0.4654130086,16.67713087,3.295299352,0.1887157476,0.993747272
1,10,3,36,0.4613878755,16.27016737,3.280874771,0.1857178301,0.8888605964
1,10,3,37,0.4548189682,14.38711695,3.322632306,0.1850036572,0.9618944742
1,10,3,38,0.4542562352,14.75993469,3.29759533,0.1770299399,0.9030943542
1,10,3,39,0.4662097084,15.03488956,3.390446863,0.1793838905,1.020625127
1,10,3,40,0.46054855,15.07204129,3.337506167,0.180569507,0.9942208682
1,10,3,41,0.4557697073,13.00539615,3.405209715,0.1852509919,0.8778357186
1,10,3,42,0.4716142611,14.05238761,3.49172187,0.1823372999,1.077558798
1,10,3,43,0.4489382231,13.60066336,3.311837042,0.1818891613,1.046348897
1,10,3,44,0.4742054028,16.942553,3.360211857,0.1897893524,1.019485637
1,10,3,45,0.454272484,12.61450602,3.412675248,0.1849587622,1.123344589
1,10,3,46,0.4541576112,11.56687606,3.467764426,0.1814515466,0.9483837205
1,10,3,47,0.4771765471,15.51674833,3.463334549,0.1790693358,1.142837402
1,10,3,48,0.4548922985,13.2915264,3.381984629,0.1831132344,1.047135294
1,10,3,49,0.4619114965,11.83143368,3.523376664,0.1820160786,1.036743881
1,10,3,50,0.4659565027,14.85812513,3.397637535,0.1868111302,0.9177768831
1,10,3,51,0.4827589355,18.043398,3.378219812,0.1845003736,0.9968405183
1,10,3,52,0.4493258157,12.0470969,3.39855215,0.1804568681,0.962058161
1,10,3,53,0.4727767595,17.08775643,3.339575313,0.1884217279,0.9690291693
1,10,3,54,0.4776078391,18.50865871,3.306935264,0.1919306961,0.9703793082
1,10,3,55,0.4763108786,16.7273579,3.390689448,0.1897663408,0.9318705259
1,10,3,56,0.4794266772,16.67569746,3.421499159,0.1799315344,0.9747194094
1,10,3,57,0.4615589773,16.49396623,3.270425462,0.1867489623,0.8722901223
1,10,3,58,0.4666833897,15.13250147,3.389480785,0.1838936124,1.053383726
1,10,3,59,0.4814509101,16.6081355,3.443336647,0.1836680991,0.960199672
1,10,3,60,0.4560761732,15.07671573,3.297004359,0.1827509441,1.048792266
1,10,3,61,0.4551735208,14.51343433,3.319056277,0.190655502,1.055511142
1,10,3,62,0.4810920694,14.93938976,3.529504174,0.1826914296,1.098834109
1,10,3,63,0.4886608676,15.47234722,3.569072064,0.1840800671,1.085951083
1,10,3,64,0.454289411,12.98925617,3.39275169,0.1872555652,0.9839941168
1,10,3,65,0.459227076,13.54817371,3.407248664,0.1785177982,1.008681428
1,10,3,66,0.4760061324,16.22307579,3.414961845,0.1838727938,1.050204497
1,10,3,67,0.4761259651,17.3291945,3.35678398,0.188546309,0.9520349915
1,10,3,68,0.4701933913,14.75513556,3.441286831,0.1859542814,1.044258489
1,10,3,69,0.4770066017,17.21726592,3.370705884,0.1857436191,0.9146037415
1,10,3,70,0.4862111245,16.58018708,3.487675813,0.1853303442,1.026399081
1,10,3,71,0.4885140832,16.50793829,3.512272912,0.184129725,0.9677042021
1,10,3,72,0.4590181483,14.00926561,3.380666963,0.1839294534,0.8558239621
